Date,Temperature,Precipitation,Wind Speed,Cloud Cover,Pressure
--,K,mm,m/s,%,Pa
2016/01/01,272.59,0.0000000000,1.21,0.02,96407.75
2016/01/02,276.66,0.0000000000,0.21,0.89,96366.06
2016/01/03,278.74,0.0000000000,2.26,0.97,95878.94
2016/01/04,279.57,0.0000009537,1.66,0.97,95334.62
2016/01/05,281.87,0.0020751953,3.68,0.91,94981.38
2016/01/06,280.49,0.0012116432,5.09,0.93,95230.50
2016/01/07,277.70,0.0000209808,1.44,0.97,95474.12
2016/01/08,276.78,0.0000000000,1.00,1.00,96182.62
2016/01/09,279.52,0.0002670288,3.20,1.00,96427.75
2016/01/10,280.02,0.0000000000,0.26,0.37,96592.25
2016/01/11,281.02,0.0000000000,1.76,0.99,97005.56
2016/01/12,278.22,0.0000000000,0.98,0.51,96982.94
2016/01/13,282.94,0.0005369186,4.02,0.96,96229.81
2016/01/14,276.89,0.0000000000,1.18,0.93,96669.31
2016/01/15,281.78,0.0000610352,1.78,0.75,96233.00
2016/01/16,282.49,0.0003461838,3.33,1.00,96559.00
2016/01/17,284.26,0.0000004768,1.68,1.00,96547.56
2016/01/18,284.26,0.0057168007,1.20,1.00,96381.81
2016/01/19,283.85,0.0012950897,3.07,1.00,96386.06
2016/01/20,282.03,0.0000042915,1.13,0.99,96807.06
2016/01/21,282.59,0.0000000000,2.36,1.00,96754.38
2016/01/22,284.73,0.0000000000,3.11,1.00,96196.62
2016/01/23,282.86,0.0000162125,2.52,1.00,96157.44
2016/01/24,278.63,0.0000000000,1.74,0.11,96603.56
2016/01/25,280.57,0.0000000000,0.98,0.12,96816.69
2016/01/26,279.29,0.0000000000,1.05,0.07,97019.38
2016/01/27,280.11,0.0000000000,0.69,0.99,97145.69
2016/01/28,281.04,0.0000000000,1.04,0.00,97045.81
2016/01/29,285.37,0.0000014305,1.16,0.92,96750.50
2016/01/30,282.80,0.0000123978,3.39,0.90,96244.06
2016/01/31,280.45,0.0001792908,0.67,1.00,95740.94
2016/02/01,277.82,0.0000000000,6.29,0.00,96052.12
2016/02/02,275.69,0.0000000000,1.56,0.96,96805.44
2016/02/03,273.75,0.0000000000,1.01,0.84,97061.31
2016/02/04,279.55,0.0000000000,0.80,0.98,97449.62
2016/02/05,275.82,0.0000000000,1.33,0.06,97378.56
2016/02/06,277.55,0.0000000000,0.88,0.80,97361.94
2016/02/07,281.71,0.0000000000,0.43,0.63,97110.81
2016/02/08,282.04,0.0000000000,1.21,0.00,96874.50
2016/02/09,285.29,0.0000000000,1.14,0.00,96800.62
2016/02/10,284.27,0.0000000000,0.89,0.00,96830.69
2016/02/11,281.91,0.0000000000,1.01,0.86,96645.69
2016/02/12,284.18,0.0000000000,0.65,0.95,96769.81
2016/02/13,283.20,0.0000009537,1.00,0.40,96816.00
2016/02/14,282.09,0.0000000000,2.60,0.98,96967.75
2016/02/15,284.22,0.0000000000,0.55,0.63,96748.44
2016/02/16,284.26,0.0000000000,0.86,0.05,96242.25
2016/02/17,288.77,0.0000047684,2.37,1.00,95216.44
2016/02/18,282.11,0.0000352859,3.17,0.66,95353.00
2016/02/19,278.49,0.0000000000,1.35,0.08,96237.50
2016/02/20,281.08,0.0000000000,1.69,0.99,96769.50
2016/02/21,279.13,0.0000000000,0.92,0.14,96791.44
2016/02/22,281.94,0.0000000000,1.39,0.35,96861.31
2016/02/23,283.78,0.0000000000,0.49,1.00,96233.94
2016/02/24,280.30,0.0000000000,1.07,0.66,96432.19
2016/02/25,283.05,0.0000000000,0.80,0.00,96493.06
2016/02/26,282.61,0.0000000000,0.83,0.56,96475.25
2016/02/27,284.21,0.0000009537,2.48,0.91,96660.81
2016/02/28,281.78,0.0000000000,2.18,0.82,96637.69
2016/02/29,284.97,0.0000000000,0.46,0.07,96603.94
2016/03/01,284.46,0.0000000000,1.67,0.90,96518.69
2016/03/02,282.08,0.0000000000,0.65,0.95,96463.94
2016/03/03,283.83,0.0002241135,1.27,1.00,96443.56
2016/03/04,285.69,0.0000009537,0.65,1.00,96152.25
2016/03/05,287.05,0.0011358261,2.84,0.96,95881.94
2016/03/06,281.80,0.0006484985,2.95,0.21,95581.44
2016/03/07,280.32,0.0003595352,2.74,1.00,95232.50
2016/03/08,277.55,0.0000000000,2.37,0.00,96082.12
2016/03/09,281.72,0.0000000000,1.41,0.34,96304.94
2016/03/10,285.31,0.0000000000,1.94,0.41,96231.88
2016/03/11,285.67,0.0000500679,1.98,1.00,95410.75
2016/03/12,280.18,0.0000009537,1.36,0.78,96380.88
2016/03/13,283.49,0.0005960464,3.05,1.00,96338.94
2016/03/14,283.75,0.0001087189,1.67,1.00,96432.69
2016/03/15,277.81,0.0000000000,1.33,1.00,96804.56
2016/03/16,282.68,0.0000000000,0.67,0.02,96506.88
2016/03/17,282.96,0.0000000000,0.66,0.00,96032.19
2016/03/18,282.24,0.0000000000,1.37,0.00,95903.44
2016/03/19,282.77,0.0000000000,1.50,0.96,96155.38
2016/03/20,282.43,0.0000000000,1.40,0.99,96265.62
2016/03/21,284.03,0.0000047684,0.89,0.95,96335.50
2016/03/22,279.24,0.0000000000,1.59,0.18,96556.19
2016/03/23,278.70,0.0000000000,2.38,0.90,96850.44
